control,dataset,baseline,backbone,backbone_variant,probe,run_id,layer,layer_label,original_accuracy,original_voe_accuracy,original_roc_auc,all_true_accuracy,all_false_accuracy,prediction_file,summary_path,source_run_dir,original_pair_consistency,all_true_pair_consistency,all_true_voe_accuracy,all_false_pair_consistency,all_false_voe_accuracy
single_frame,intphys2_single_frame,single_frame,jepa_v1,vith16_384,temporal_attn,24459166,16.0,16,48.52941176470589,15.68627450980392,0.4789023452518262,94.6078431372549,5.392156862745098,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_16/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_16/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v1,vith16_384,temporal_attn,24459166,24.0,24,50.0,37.25490196078432,0.5770857362552865,100.0,0.0,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_24/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_24/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v1,vith16_384,temporal_attn,24459166,32.0,32,50.0,15.68627450980392,0.4681372549019608,100.0,0.0,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_32/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166/layer_32/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_temporal_attn_24459166,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2,vitg_384,temporal_attn,24459169,10.0,10,50.49019607843137,15.68627450980392,0.4965878508266051,30.88235294117647,69.11764705882352,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_10/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_10/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2,vitg_384,temporal_attn,24459169,20.0,20,50.49019607843137,15.68627450980392,0.5248942714340639,3.431372549019608,96.5686274509804,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_20/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_20/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2,vitg_384,temporal_attn,24459169,30.0,30,49.01960784313725,21.568627450980397,0.5336409073433295,97.05882352941175,2.941176470588235,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_30/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_30/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2,vitg_384,temporal_attn,24459169,40.0,40,50.49019607843137,17.647058823529413,0.5060073048827374,99.50980392156865,0.4901960784313725,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_40/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169/layer_40/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_temporal_attn_24459169,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2_1,vitG_384,temporal_attn,24459170,12.0,12,52.94117647058824,7.84313725490196,0.5177816224529027,80.3921568627451,19.607843137254903,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_12/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_12/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2_1,vitG_384,temporal_attn,24459170,24.0,24,50.98039215686274,23.52941176470588,0.5135524798154556,0.9803921568627452,99.01960784313728,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_24/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_24/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170,,,0.0,,0.0
single_frame,intphys2_single_frame,single_frame,jepa_v2_1,vitG_384,temporal_attn,24459170,38.0,38,48.03921568627451,7.84313725490196,0.4667435601691657,94.11764705882352,5.88235294117647,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_38/probe_predictions.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170/layer_38/probe_eval_summary.json,/scratch-shared/spunzo1/probe4physics/artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_temporal_attn_24459170,,,0.0,,0.0
