Dataset,Model,Probe,Layer,Main seed42 test,Frame shuffle test,Frame shuffle drop pp,Single frame test,Single frame drop pp
IntPhys2,V-JEPA,Linear,24,50.9803921568627,21.56862745098039,-29.41176470588231,7.84313725490196,-43.13725490196074
IntPhys2,V-JEPA,MLP,32,45.0980392156862,19.6078431372549,-25.4901960784313,17.64705882352941,-27.45098039215679
IntPhys2,V-JEPA,Attentive,16,66.66666666666666,39.21568627450981,-27.45098039215685,15.68627450980392,-50.980392156862735
IntPhys2,V-JEPA 2,Linear,40,41.1764705882352,31.37254901960784,-9.80392156862736,25.49019607843137,-15.686274509803827
IntPhys2,V-JEPA 2,MLP,30,56.8627450980392,23.52941176470588,-33.333333333333314,21.56862745098039,-35.29411764705881
IntPhys2,V-JEPA 2,Attentive,40,78.43137254901961,54.90196078431373,-23.529411764705884,17.64705882352941,-60.78431372549021
IntPhys2,V-JEPA 2.1,Linear,48,35.2941176470588,35.29411764705883,3.552713678800501e-14,9.803921568627452,-25.490196078431346
IntPhys2,V-JEPA 2.1,MLP,38,39.2156862745098,29.41176470588236,-9.803921568627441,19.6078431372549,-19.6078431372549
IntPhys2,V-JEPA 2.1,Attentive,48,60.78431372549019,60.78431372549019,0.0,15.68627450980392,-45.09803921568627
IntPhys2,VideoMAE,Linear,16,35.2941176470588,19.6078431372549,-15.686274509803898,9.803921568627452,-25.490196078431346
IntPhys2,VideoMAE,MLP,24,35.2941176470588,13.72549019607843,-21.568627450980365,13.72549019607843,-21.568627450980365
IntPhys2,VideoMAE,Attentive,24,76.47058823529412,52.94117647058824,-23.529411764705877,17.64705882352941,-58.82352941176471
IntPhys2,VideoMAE-v2,Linear,40,47.0588235294117,21.56862745098039,-25.490196078431307,15.68627450980392,-31.372549019607778
IntPhys2,VideoMAE-v2,MLP,20,47.0588235294117,13.72549019607843,-33.333333333333265,11.76470588235294,-35.294117647058755
IntPhys2,VideoMAE-v2,Attentive,20,62.74509803921568,47.05882352941176,-15.686274509803916,19.6078431372549,-43.13725490196077
IntPhys2,LTX-Video,Linear,24 (noise 0.1),49.0196078431372,19.6078431372549,-29.4117647058823,0.0,-49.0196078431372
IntPhys2,LTX-Video,MLP,24 (noise 0.2),47.0588235294117,15.68627450980392,-31.372549019607778,21.56862745098039,-25.490196078431307
IntPhys2,LTX-Video,Attentive,48 (noise 0.2),43.137254901960794,17.64705882352941,-25.490196078431385,7.84313725490196,-35.29411764705883
MVP,V-JEPA,Linear,32,48.7360970677452,34.78260869565217,-13.953488372093027,4.954499494438827,-43.78159757330637
MVP,V-JEPA,MLP,32,87.2598584428715,38.92821031344793,-48.33164812942358,0.0,-87.2598584428715
MVP,V-JEPA,Attentive,24,95.04550050556118,72.09302325581395,-22.952477249747233,10.61678463094034,-84.42871587462083
MVP,V-JEPA 2,Linear,40,48.5338725985844,30.94034378159757,-17.593528816986833,2.224469160768453,-46.30940343781595
MVP,V-JEPA 2,MLP,40,86.7542972699696,40.44489383215369,-46.30940343781591,5.763397371081901,-80.9908998988877
MVP,V-JEPA 2,Attentive,40,94.03437815975732,64.40849342770476,-29.62588473205257,21.53690596562184,-72.49747219413548
MVP,V-JEPA 2.1,Linear,38,42.2649140546006,27.30030333670374,-14.96461071789686,1.718907987866532,-40.54600606673407
MVP,V-JEPA 2.1,MLP,38,70.7785642062689,35.99595551061678,-34.782608695652115,4.954499494438827,-65.82406471183008
MVP,V-JEPA 2.1,Attentive,38,94.94438827098078,81.19312436804853,-13.751263902932251,15.47017189079879,-79.47421638018199
MVP,VideoMAE,Linear,24,37.5126390293225,29.42366026289181,-8.088978766430689,4.954499494438827,-32.55813953488367
MVP,VideoMAE,MLP,24,64.4084934277047,39.1304347826087,-25.278058645095996,4.448938321536906,-59.95955510616779
MVP,VideoMAE,Attentive,24,92.01213346814961,69.76744186046511,-22.2446916076845,16.48129423660263,-75.53083923154699
MVP,VideoMAE-v2,Linear,20,37.7148634984833,28.10920121334681,-9.605662285136486,2.831142568250758,-34.88372093023254
MVP,VideoMAE-v2,MLP,20,66.1274014155712,36.90596562184025,-29.221435793730947,2.224469160768453,-63.90293225480275
MVP,VideoMAE-v2,Attentive,30,91.1021233569261,56.72396359959555,-34.37815975733055,14.66127401415571,-76.44084934277039
MVP,LTX-Video,Linear,24 (noise 0.8),50.55611729019211,24.57027300303337,-25.98584428715874,9.30232558139535,-41.25379170879676
MVP,LTX-Video,MLP,24 (noise 0.6),68.85743174924166,29.32254802831142,-39.53488372093024,11.22345803842265,-57.633973710819006
MVP,LTX-Video,Attentive,24 (noise 0.5),84.32760364004038,3.437815975733063,-80.88978766430732,2.932254802831143,-81.39534883720924
