dataset,experiment,model,backbone,backbone_name,backbone_variant,probe,probe_hydra,layer,selected_slot,layer_label,depth_layer_id,feature_view,train_accuracy,val_accuracy,test_accuracy,train_primary_metric,val_primary_metric,test_primary_metric,config_status,best_lr_by_val_pair,best_config_json,evidence_path,notes
MVP,ltx,LTX-Video,LTX-13B,ltx_video,ltxv_13b_0_9_8_distilled,Attentive,temporal_attn,10,10,noise_0.8_block_24,24,tokens,90.33726812816188,83.67037411526795,81.85035389282103,81.75379426644183,69.66632962588474,66.83518705763397,VERIFIED_EXTERNAL_FULL,1e-5,"{""batch_size"":1,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":10,""lr"":1e-05,""slot"":10,""depth_layer_id"":24,""weight_decay"":0.01,""num_heads"":16,""num_self_attn_blocks"":1,""mlp_ratio"":2.0,""dropout"":0.2}",/gpfs/home2/spunzo1/ltx_13_att_mvp_friend/mvp/recovery_seed42_mvp_ltx13b_attentive_lr_matrix/layer_10/lr_1e-5/eval/probe_eval_summary.json,"External friend import. Training provenance confirmed by friend sbatch launch: epochs=30,batch_size=1,eval_batch_size=1,weight_decay=0.01,early_stopping=true,patience=5,num_heads=16,num_self_attn_blocks=1,mlp_ratio=2.0,dropout=0.2. This package is eval-only on this server; train summaries/checkpoints were not copied."
MVP,ltx,LTX-Video,LTX-13B,ltx_video,ltxv_13b_0_9_8_distilled,Attentive,temporal_attn,18,18,noise_0.6_block_24,24,tokens,94.56998313659359,87.8665318503539,86.65318503538928,89.78077571669478,78.36198179979777,75.32861476238625,VERIFIED_EXTERNAL_FULL,1e-5,"{""batch_size"":1,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":18,""lr"":1e-05,""slot"":18,""depth_layer_id"":24,""weight_decay"":0.01,""num_heads"":16,""num_self_attn_blocks"":1,""mlp_ratio"":2.0,""dropout"":0.2}",/gpfs/home2/spunzo1/ltx_13_att_mvp_friend/mvp/recovery_seed42_mvp_ltx13b_attentive_lr_matrix/layer_18/lr_1e-5/eval/probe_eval_summary.json,"External friend import. Training provenance confirmed by friend sbatch launch: epochs=30,batch_size=1,eval_batch_size=1,weight_decay=0.01,early_stopping=true,patience=5,num_heads=16,num_self_attn_blocks=1,mlp_ratio=2.0,dropout=0.2. This package is eval-only on this server; train summaries/checkpoints were not copied."
MVP,ltx,LTX-Video,LTX-13B,ltx_video,ltxv_13b_0_9_8_distilled,Attentive,temporal_attn,22,22,noise_0.5_block_24,24,tokens,98.1956155143339,90.69767441860465,90.4448938321537,96.39123102866779,83.417593528817,82.30535894843275,VERIFIED_EXTERNAL_FULL,1e-5,"{""batch_size"":1,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":22,""lr"":1e-05,""slot"":22,""depth_layer_id"":24,""weight_decay"":0.01,""num_heads"":16,""num_self_attn_blocks"":1,""mlp_ratio"":2.0,""dropout"":0.2}",/gpfs/home2/spunzo1/ltx_13_att_mvp_friend/mvp/recovery_seed42_mvp_ltx13b_attentive_lr_matrix/layer_22/lr_1e-5/eval/probe_eval_summary.json,"External friend import. Training provenance confirmed by friend sbatch launch: epochs=30,batch_size=1,eval_batch_size=1,weight_decay=0.01,early_stopping=true,patience=5,num_heads=16,num_self_attn_blocks=1,mlp_ratio=2.0,dropout=0.2. This package is eval-only on this server; train summaries/checkpoints were not copied."
MVP,ltx,LTX-Video,LTX-13B,ltx_video,ltxv_13b_0_9_8_distilled,Attentive,temporal_attn,26,26,noise_0.4_block_24,24,tokens,97.92580101180438,92.77047522750253,91.25379170879675,95.91905564924114,86.45096056622852,84.22649140546005,VERIFIED_EXTERNAL_FULL,1e-5,"{""batch_size"":1,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":26,""lr"":1e-05,""slot"":26,""depth_layer_id"":24,""weight_decay"":0.01,""num_heads"":16,""num_self_attn_blocks"":1,""mlp_ratio"":2.0,""dropout"":0.2}",/gpfs/home2/spunzo1/ltx_13_att_mvp_friend/mvp/recovery_seed42_mvp_ltx13b_attentive_lr_matrix/layer_26/lr_1e-5/eval/probe_eval_summary.json,"External friend import. Training provenance confirmed by friend sbatch launch: epochs=30,batch_size=1,eval_batch_size=1,weight_decay=0.01,early_stopping=true,patience=5,num_heads=16,num_self_attn_blocks=1,mlp_ratio=2.0,dropout=0.2. This package is eval-only on this server; train summaries/checkpoints were not copied."
