config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__same_l__jepa_v2__vitl_256__mlp__layer_6,intphys2__same_l__jepa_v2__vitl_256__mlp__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,22.516556,51.490066,19.607843,51.470588,19.607843,50.980392,,50,,false,,,results/verified_layerwise_probe_configs.csv,30,intphys_primary_db.xlsx,V-JEPA 2,A7:K7,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__mlp__layer_12,intphys2__same_l__jepa_v2__vitl_256__mlp__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,100,99.503311,31.372549,62.254902,33.333333,56.862745,,2000,,false,,,results/verified_layerwise_probe_configs.csv,31,intphys_primary_db.xlsx,V-JEPA 2,A8:K8,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__mlp__layer_18,intphys2__same_l__jepa_v2__vitl_256__mlp__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,95.364238,96.523179,45.098039,67.647059,52.941176,65.196078,,2000,,false,,,results/verified_layerwise_probe_configs.csv,32,intphys_primary_db.xlsx,V-JEPA 2,A9:K9,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__mlp__layer_24,intphys2__same_l__jepa_v2__vitl_256__mlp__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,86.092715,87.086093,27.45098,61.764706,37.254902,58.823529,,2000,,false,,,results/verified_layerwise_probe_configs.csv,33,intphys_primary_db.xlsx,V-JEPA 2,A10:K10,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_6,intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,35.761589,52.483444,23.529412,53.921569,23.529412,50,,50,,false,,,results/verified_layerwise_probe_configs.csv,62,intphys_primary_db.xlsx,V-JEPA 2.1,N3:X3,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_12,intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,44.370861,57.284768,35.294118,54.411765,25.490196,49.509804,,100,,false,,,results/verified_layerwise_probe_configs.csv,63,intphys_primary_db.xlsx,V-JEPA 2.1,N4:X4,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_18,intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,53.642384,70.364238,35.294118,59.313725,43.137255,60.784314,,2000,,false,,,results/verified_layerwise_probe_configs.csv,64,intphys_primary_db.xlsx,V-JEPA 2.1,N5:X5,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_24,intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,49.668874,55.463576,33.333333,56.372549,27.45098,53.921569,,500,,false,,,results/verified_layerwise_probe_configs.csv,65,intphys_primary_db.xlsx,V-JEPA 2.1,N6:X6,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_6,intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,17.880795,50.165563,19.607843,51.470588,9.803922,50,,100,,false,,,results/verified_layerwise_probe_configs.csv,66,intphys_primary_db.xlsx,V-JEPA 2.1,N7:X7,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_12,intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,97.350993,88.741722,47.058824,63.72549,39.215686,57.352941,,2000,,false,,,results/verified_layerwise_probe_configs.csv,67,intphys_primary_db.xlsx,V-JEPA 2.1,N8:X8,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_18,intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,98.013245,85.761589,33.333333,65.686275,50.980392,58.823529,,2000,,false,,,results/verified_layerwise_probe_configs.csv,68,intphys_primary_db.xlsx,V-JEPA 2.1,N9:X9,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_24,intphys2__same_l__jepa_v2_1__vitl_384__mlp__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,100,96.854305,39.215686,59.803922,33.333333,58.333333,,2000,,false,,,results/verified_layerwise_probe_configs.csv,69,intphys_primary_db.xlsx,V-JEPA 2.1,N10:X10,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__linear__layer_6,intphys2__same_l__videomae__vit_large_16_224__linear__layer_6__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,9.271523,50.496689,15.686275,51.960784,15.686275,50.490196,,100,,false,,,results/verified_layerwise_probe_configs.csv,98,intphys_primary_db.xlsx,VideoMAE,A3:K3,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__linear__layer_12,intphys2__same_l__videomae__vit_large_16_224__linear__layer_12__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,32.450331,53.311258,21.568627,52.941176,17.647059,52.941176,,50,,false,,,results/verified_layerwise_probe_configs.csv,99,intphys_primary_db.xlsx,VideoMAE,A4:K4,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__linear__layer_18,intphys2__same_l__videomae__vit_large_16_224__linear__layer_18__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,42.384106,59.768212,35.294118,56.862745,43.137255,52.45098,,1000,,false,,,results/verified_layerwise_probe_configs.csv,100,intphys_primary_db.xlsx,VideoMAE,A5:K5,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__linear__layer_24,intphys2__same_l__videomae__vit_large_16_224__linear__layer_24__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,53.642384,70.033113,27.45098,59.803922,35.294118,53.431373,,2000,,false,,,results/verified_layerwise_probe_configs.csv,101,intphys_primary_db.xlsx,VideoMAE,A6:K6,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__mlp__layer_6,intphys2__same_l__videomae__vit_large_16_224__mlp__layer_6__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,47.682119,57.119205,11.764706,52.941176,23.529412,53.431373,,2000,,false,,,results/verified_layerwise_probe_configs.csv,102,intphys_primary_db.xlsx,VideoMAE,A7:K7,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__mlp__layer_12,intphys2__same_l__videomae__vit_large_16_224__mlp__layer_12__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,99.337748,98.178808,27.45098,59.313725,39.215686,60.784314,,2000,,false,,,results/verified_layerwise_probe_configs.csv,103,intphys_primary_db.xlsx,VideoMAE,A8:K8,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__mlp__layer_18,intphys2__same_l__videomae__vit_large_16_224__mlp__layer_18__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,63.576159,76.490066,39.215686,60.294118,41.176471,56.372549,,2000,,false,,,results/verified_layerwise_probe_configs.csv,104,intphys_primary_db.xlsx,VideoMAE,A9:K9,seed 42 read from source CSV metrics
intphys2__same_l__videomae__vit_large_16_224__mlp__layer_24,intphys2__same_l__videomae__vit_large_16_224__mlp__layer_24__seed_42,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,96.688742,95.529801,35.294118,64.705882,41.176471,62.254902,,2000,,false,,,results/verified_layerwise_probe_configs.csv,105,intphys_primary_db.xlsx,VideoMAE,A10:K10,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_6,intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_6__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,12.582781,51.490066,11.764706,51.470588,13.72549,50.980392,,50,,false,,,results/verified_layerwise_probe_configs.csv,134,intphys_primary_db.xlsx,VideoMAE-v2,N3:X3,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_12,intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_12__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,48.344371,60.596026,37.254902,56.862745,41.176471,50.980392,,1000,,false,,,results/verified_layerwise_probe_configs.csv,135,intphys_primary_db.xlsx,VideoMAE-v2,N4:X4,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_18,intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_18__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,70.860927,66.721854,47.058824,61.764706,29.411765,56.372549,,2000,,false,,,results/verified_layerwise_probe_configs.csv,136,intphys_primary_db.xlsx,VideoMAE-v2,N5:X5,seed 42 read from source CSV metrics
