run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
mvp__jepa_v1__temporal_attn__layer_32__seed_101,mvp__jepa_v1__temporal_attn__layer_32,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,101,42,jepa_v1,vith16_384,32,,Final layer,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_32,mvp__jepa_v1__temporal_attn__layer_32__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_32"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_32__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,344,346,3d5b3faf0208109c,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":32,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_32/lr_1e-5/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_32__seed_102,mvp__jepa_v1__temporal_attn__layer_32,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,102,42,jepa_v1,vith16_384,32,,Final layer,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_32,mvp__jepa_v1__temporal_attn__layer_32__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_32/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_32"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_32__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,344,346,3d5b3faf0208109c,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":32,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_32/lr_1e-5/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_8__seed_101,mvp__jepa_v1__temporal_attn__layer_8,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,101,42,jepa_v1,vith16_384,8,,Layer 0.25,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_8,mvp__jepa_v1__temporal_attn__layer_8__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=8"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_8"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_8__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,345,347,5dc612c4093808fd,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":8,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_8/lr_1e-5/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_8__seed_102,mvp__jepa_v1__temporal_attn__layer_8,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,102,42,jepa_v1,vith16_384,8,,Layer 0.25,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_8,mvp__jepa_v1__temporal_attn__layer_8__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=8"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_8/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_8"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_8__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,345,347,5dc612c4093808fd,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":8,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_8/lr_1e-5/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_16__seed_101,mvp__jepa_v1__temporal_attn__layer_16,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,101,42,jepa_v1,vith16_384,16,,Layer 0.5,tokens,1e-4,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_16,mvp__jepa_v1__temporal_attn__layer_16__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=16"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-4"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_16"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_16__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,346,348,63ac908be7cabcd9,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":16,""lr"":0.0001,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_16/lr_1e-4/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_16__seed_102,mvp__jepa_v1__temporal_attn__layer_16,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,102,42,jepa_v1,vith16_384,16,,Layer 0.5,tokens,1e-4,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_16,mvp__jepa_v1__temporal_attn__layer_16__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=16"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-4"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_16/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_16"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_16__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,346,348,63ac908be7cabcd9,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":16,""lr"":0.0001,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_16/lr_1e-4/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_24__seed_101,mvp__jepa_v1__temporal_attn__layer_24,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,101,42,jepa_v1,vith16_384,24,,Layer 0.75,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_24,mvp__jepa_v1__temporal_attn__layer_24__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_24"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_24__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,347,349,9db0acfd057ec4dc,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":24,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_24/lr_1e-5/train_eval_summary.json
mvp__jepa_v1__temporal_attn__layer_24__seed_102,mvp__jepa_v1__temporal_attn__layer_24,train_eval.probe.mvp,MVP,mvp,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,102,42,jepa_v1,vith16_384,24,,Layer 0.75,tokens,1e-5,0.01,2,2,30,false,5,,,16,1,2,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_24,mvp__jepa_v1__temporal_attn__layer_24__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=temporal_attn"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v1__temporal_attn__layer_24/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v1__temporal_attn__layer_24"",""probe.wandb.name=mvp__jepa_v1__temporal_attn__layer_24__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,347,349,9db0acfd057ec4dc,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":24,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_config_recovery_seed42_lr_matrix/layer_24/lr_1e-5/train_eval_summary.json
