dataset,experiment,model_label,backbone,probe,layer_key,layer,layer_label,config_id,manifest_seeds,expected_seeds,loaded_n_seeds,loaded_seeds,missing_loaded_seeds,loaded_seed_source,test_primary_mean,test_primary_std,status,manifest
intphys2,ltx,LTX-13B,LTX-13B,linear,id:3,3,noise_1.0_block_36,intphys2__ltx_video__linear__slot_3,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:30,30,noise_0.3_block_24,intphys2__ltx_video__linear__slot_30,"101,102","42,101,102",3,"42,101,102",,ready_manifest,41.83006535947709,1.132059351352238,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:31,31,noise_0.3_block_36,intphys2__ltx_video__linear__slot_31,"101,102","42,101,102",3,"42,101,102",,ready_manifest,29.411764705882334,1.9607843137255203,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:32,32,noise_0.3_block_48,intphys2__ltx_video__linear__slot_32,"101,102","42,101,102",3,"42,101,102",,ready_manifest,27.450980392156847,3.39617805405661,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:33,33,noise_0.2_block_12,intphys2__ltx_video__linear__slot_33,"101,102","42,101,102",3,"42,101,102",,ready_manifest,30.718954248366,2.264118702704425,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:34,34,noise_0.2_block_24,intphys2__ltx_video__linear__slot_34,"101,102","42,101,102",3,"42,101,102",,ready_manifest,47.05882352941174,3.6920883578564435e-14,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:35,35,noise_0.2_block_36,intphys2__ltx_video__linear__slot_35,"101,102","42,101,102",3,"42,101,102",,ready_manifest,35.29411764705882,1.9607843137254868,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:36,36,noise_0.2_block_48,intphys2__ltx_video__linear__slot_36,"101,102","42,101,102",3,"42,101,102",,ready_manifest,30.718954248365996,4.081698038168914,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:37,37,noise_0.1_block_12,intphys2__ltx_video__linear__slot_37,"101,102","42,101,102",3,"42,101,102",,ready_manifest,24.183006535947705,10.061963606758582,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:38,38,noise_0.1_block_24,intphys2__ltx_video__linear__slot_38,"101,102","42,101,102",3,"42,101,102",,ready_manifest,49.673202614379065,2.995147513043042,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:39,39,noise_0.1_block_36,intphys2__ltx_video__linear__slot_39,"101,102","42,101,102",3,"42,101,102",,ready_manifest,35.94771241830065,2.264118702704415,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:4,4,noise_1.0_block_48,intphys2__ltx_video__linear__slot_4,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:40,40,noise_0.1_block_48,intphys2__ltx_video__linear__slot_40,"101,102","42,101,102",3,"42,101,102",,ready_manifest,24.183006535947698,6.303039713067265,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:5,5,noise_0.9_block_12,intphys2__ltx_video__linear__slot_5,"101,102","42,101,102",3,"42,101,102",,ready_manifest,22.222222222222197,4.081698038168873,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:6,6,noise_0.9_block_24,intphys2__ltx_video__linear__slot_6,"101,102","42,101,102",3,"42,101,102",,ready_manifest,24.18300653594771,4.934532310634479,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:7,7,noise_0.9_block_36,intphys2__ltx_video__linear__slot_7,"101,102","42,101,102",3,"42,101,102",,ready_manifest,15.032679738562084,1.1320593513522004,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:8,8,noise_0.9_block_48,intphys2__ltx_video__linear__slot_8,"101,102","42,101,102",3,"42,101,102",,ready_manifest,13.071895424836589,2.2641187027044265,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:9,9,noise_0.8_block_12,intphys2__ltx_video__linear__slot_9,"101,102","42,101,102",3,"42,101,102",,ready_manifest,19.60784313725488,7.069708383262695,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:1,1,noise_1.0_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:10,10,noise_0.8_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_10,"101,102","42,101,102",3,"42,101,102",,ready_manifest,6.5359477124183005,2.995147513043033,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:11,11,noise_0.8_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_11,"101,102","42,101,102",3,"42,101,102",,ready_manifest,10.45751633986928,4.081698038168888,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:12,12,noise_0.8_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_12,"101,102","42,101,102",3,"42,101,102",,ready_manifest,22.875816993464053,6.886048204478916,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:13,13,noise_0.7_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,"101,102","42,101,102",3,"42,101,102",,ready_manifest,11.11111111111111,2.995147513043033,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:14,14,noise_0.7_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_14,"101,102","42,101,102",3,"42,101,102",,ready_manifest,23.529411764705884,6.792356108113247,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
