run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_101__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,101,42,ltx_video,ltx_2b_0_9_8_distilled,17,17,17,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_101,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_101,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_101_h100_lean,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=17"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_101"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_101_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,560,562,6cbab075c1c5d622,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":17,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":17,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_102__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,102,42,ltx_video,ltx_2b_0_9_8_distilled,17,17,17,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_102,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_102,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_102_h100_lean,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=17"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_102"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_17__seed_102_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,560,562,6cbab075c1c5d622,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":17,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":17,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_101__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,101,42,ltx_video,ltx_2b_0_9_8_distilled,21,21,21,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_101,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_101,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_101_h100_lean,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=21"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_101"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_101_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,561,563,7f7e6877368df39d,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":21,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":21,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_102__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,102,42,ltx_video,ltx_2b_0_9_8_distilled,21,21,21,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_102,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_102,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_102_h100_lean,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=21"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_102"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_21__seed_102_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,561,563,7f7e6877368df39d,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":21,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":21,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_101__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,101,42,ltx_video,ltx_2b_0_9_8_distilled,29,29,29,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_101,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_101,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_101_h100_lean,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=29"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_101"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_101_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,562,564,b2fa2681e213c89c,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":29,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":29,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_102__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,102,42,ltx_video,ltx_2b_0_9_8_distilled,29,29,29,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_102,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_102,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_102_h100_lean,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=29"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_102"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_29__seed_102_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,562,564,b2fa2681e213c89c,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":29,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":29,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_101__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,101,42,ltx_video,ltx_2b_0_9_8_distilled,38,38,38,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_101,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_101,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_101_h100_lean,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=38"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_101"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_101_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,563,565,06f571a3f712c2d0,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":38,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":38,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_102__h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Attentive,temporal_attn,102,42,ltx_video,ltx_2b_0_9_8_distilled,38,38,38,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2,0.2,cuda,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_102,/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp,seed_runs_mvp_ltx2b_attentive_full_epoch/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_102,seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38_h100_lean,mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_102_h100_lean,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=temporal_attn"",""probe.layer=38"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_102"",""probe.eval_output_dir=/gpfs/scratch1/shared/spunzo1/probe4physics/artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_attentive_full_epoch_h100_lean/mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_attentive_full_epoch_mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38_h100_lean"",""probe.wandb.name=mvp__ltx__ltx_video__ltx_2b__temporal_attn__layer_38__seed_102_h100_lean"",""feature_cache.layer_ids=[17,21,29,38]"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,563,565,06f571a3f712c2d0,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":38,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":38,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltx_2b_0_9_8_distilled_lr_matrix/train_eval_summary.json
