config_id,dataset,experiment,model,backbone,probe,layer,n_final_seeds,final_seeds,old_test_primary_mean,old_test_primary_std,final_test_primary_mean,final_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,seed42_test_primary,seed101102_final_test_primary_mean,seed101102_final_minus_seed42,final_test_primary_values,old_test_primary_values,final_test_accuracy_values
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,9,3,"42,101,102",54.25,1.13,56.21,4.08,69.61,2.14,68.63,3.43,52.94,57.84,4.90,"52.94,60.78,54.90","52.94,54.90,54.90","71.08,70.10,64.71"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,12,3,"42,101,102",38.56,4.08,36.60,6.89,60.62,1.86,59.15,3.15,43.14,33.33,-9.80,"43.14,29.41,37.25","43.14,37.25,35.29","62.75,56.86,57.84"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,8,3,"42,101,102",13.07,3.00,9.80,7.84,48.37,2.04,48.53,2.14,9.80,9.80,0.00,"9.80,1.96,17.65","9.80,13.73,15.69","46.08,49.51,50.00"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,16,3,"42,101,102",60.13,5.66,64.71,5.19,77.78,2.42,77.45,3.43,66.67,63.73,-2.94,"66.67,68.63,58.82","66.67,56.86,56.86","78.92,79.90,73.53"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,24,3,"42,101,102",62.75,1.96,58.82,5.88,75.98,2.73,75.00,2.73,64.71,55.88,-8.82,"64.71,52.94,58.82","64.71,62.75,60.78","75.49,72.06,77.45"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,32,3,"42,101,102",52.94,0.00,56.86,3.92,71.73,1.50,72.55,2.25,52.94,58.82,5.88,"52.94,56.86,60.78","52.94,52.94,52.94","72.06,70.59,75.00"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,10,3,"42,101,102",7.84,5.88,5.88,3.40,50.33,0.28,50.00,0.49,1.96,7.84,5.88,"1.96,7.84,7.84","1.96,13.73,7.84","50.49,49.51,50.00"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,20,3,"42,101,102",12.42,3.00,11.11,5.99,49.67,0.28,49.84,0.28,9.80,11.76,1.96,"9.80,5.88,17.65","9.80,15.69,11.76","49.51,50.00,50.00"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,30,3,"42,101,102",52.94,3.40,55.56,1.13,73.04,0.98,75.65,2.04,56.86,54.90,-1.96,"56.86,54.90,54.90","56.86,50.98,50.98","74.02,75.00,77.94"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,40,3,"42,101,102",64.71,12.25,66.01,11.82,78.27,5.24,77.61,5.15,78.43,59.80,-18.63,"78.43,64.71,54.90","78.43,60.78,54.90","82.84,77.45,72.55"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,12,3,"42,101,102",20.26,4.08,17.65,5.19,55.39,0.85,56.21,0.28,23.53,14.71,-8.82,"23.53,13.73,15.69","23.53,15.69,21.57","55.88,56.37,56.37"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_24,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,24,3,"42,101,102",50.98,1.96,50.98,1.96,66.34,5.03,66.34,5.03,50.98,50.98,0.00,"50.98,49.02,52.94","50.98,49.02,52.94","60.78,67.65,70.59"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_38,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,38,3,"42,101,102",59.48,7.92,58.82,5.19,73.37,3.61,75.49,4.01,54.90,60.78,5.88,"54.90,56.86,64.71","54.90,54.90,68.63","72.06,74.51,79.90"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_48,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,48,3,"42,101,102",54.90,5.19,58.82,1.96,72.55,0.98,71.73,2.32,60.78,57.84,-2.94,"60.78,56.86,58.82","60.78,52.94,50.98","72.55,69.12,73.53"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_8,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,8,3,"42,101,102",15.69,3.40,18.95,4.93,51.14,0.28,52.12,1.02,13.73,21.57,7.84,"13.73,23.53,19.61","13.73,19.61,13.73","50.98,52.94,52.45"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_16,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,16,3,"42,101,102",55.56,1.13,56.86,3.40,72.39,4.11,70.75,2.79,54.90,57.84,2.94,"54.90,60.78,54.90","54.90,54.90,56.86","67.65,71.57,73.04"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_24,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,24,3,"42,101,102",73.20,4.08,73.86,4.53,81.05,0.28,82.03,1.98,76.47,72.55,-3.92,"76.47,76.47,68.63","76.47,74.51,68.63","80.88,84.31,80.88"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_32,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,32,3,"42,101,102",41.18,1.96,37.25,3.92,60.62,1.86,60.78,1.30,41.18,35.29,-5.88,"41.18,33.33,37.25","41.18,39.22,43.14","59.80,60.29,62.25"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,10,3,"42,101,102",25.49,7.07,22.88,3.00,50.98,0.00,52.29,1.23,19.61,24.51,4.90,"19.61,25.49,23.53","19.61,33.33,23.53","50.98,53.43,52.45"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,20,3,"42,101,102",43.14,16.98,58.82,6.79,58.50,12.21,69.61,4.27,62.75,56.86,-5.88,"62.75,62.75,50.98","62.75,33.33,33.33","72.55,71.57,64.71"
