config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__backbone_sweep__videomae_v2__vit_base_16_224__linear__layer_9,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,linear,9,9,3,"42,101,102",39.869281,2.995148,57.843137,2.136715,47.058824,1.960785,59.967321,0.283015,48.785872,1.011606,64.348786,3.054325,true,,
intphys2__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_12,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,12,12,3,"42,101,102",29.411765,3.921569,57.352941,1.960784,44.444444,1.132059,62.418301,1.233633,82.560706,13.15088,81.898455,6.794806,true,,
intphys2__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_3,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,3,3,3,"42,101,102",9.803922,3.921569,50,0,12.418301,10.061964,50,0,7.064018,1.66663,50,0,true,,
intphys2__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_6,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,6,6,3,"42,101,102",18.300654,8.163396,50.980392,0.490196,24.183007,8.841666,52.287581,0.283015,32.891832,3.765722,51.434879,0.581438,true,,
intphys2__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_9,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,9,9,3,"42,101,102",37.908497,2.264118,55.882353,1.767427,48.366013,2.995148,58.006536,1.020424,44.370861,0.662252,60.04415,1.590898,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,12,12,3,"42,101,102",40.815639,0.308903,65.520728,0.307521,44.6242,0.508921,67.677789,0.058377,49.421023,0.280832,71.152333,0.103037,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,3,3,3,"42,101,102",32.119986,0.710189,61.088642,0.22797,32.996293,0.574949,61.846984,0.058378,36.402473,0.390902,64.05846,0.297071,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,6,6,3,"42,101,102",38.658578,0.518868,65.099427,0.177547,38.995618,0.518868,65.200539,0.077226,44.822934,0.089233,68.887015,0.118044,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,9,9,3,"42,101,102",38.624874,0.350263,63.953489,0.220369,42.635659,0.40864,65.975733,0.087566,45.868465,0.446164,69.707701,0.156687,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_12,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,12,12,3,"42,101,102",70.610044,2.025612,84.024267,0.875657,72.56488,0.382804,85.321874,0.116754,89.173693,1.256069,94.485666,0.613373,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,3,3,3,"42,101,102",50.219077,0.939492,71.216717,1.153226,53.218739,1.017841,73.30637,0.562969,85.081506,2.647573,92.338392,1.322497,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_6,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,6,6,3,"42,101,102",63.161443,1.223138,78.985507,0.785385,64.138861,0.45594,79.811257,0.20432,93.693086,1.337641,96.835301,0.666549,true,,
mvp__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_9,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,9,9,3,"42,101,102",66.464442,1.127451,80.957196,0.673239,67.711493,0.710189,81.799798,0.252781,96.537381,0.421698,98.263069,0.220518,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_10,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,10,10,3,"42,101,102",33.973711,1.139477,61.341422,0.379452,38.287833,0.811002,64.307381,0.281484,44.519393,2.034541,68.274311,1.085345,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_20,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,20,20,3,"42,101,102",37.782272,0.673238,63.97034,0.506403,39.973036,0.617806,65.402764,0.077226,51.354693,0.516288,72.939854,0.315636,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_30,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,30,30,3,"42,101,102",44.253455,0.871757,66.970003,0.554583,45.197169,0.535036,68.217054,0.077226,58.639685,0.489136,76.750984,0.464994,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_40,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,40,40,3,"42,101,102",46.410515,0.631446,68.318167,0.287474,50.421301,0.688257,71.300977,0.116755,59.943788,0.371506,77.386172,0.182406,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_10,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,10,10,3,"42,101,102",47.152005,1.06208,69.649478,0.506403,48.702393,0.477838,70.694304,0.429975,90.264194,1.822601,95.042159,0.891211,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_20,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,20,20,3,"42,101,102",60.397708,0.859949,76.643074,0.440738,63.296259,0.789712,78.699022,0.233509,97.504216,0.557259,98.752108,0.278629,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_30,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,30,30,3,"42,101,102",68.92484,0.917469,81.580721,1.146558,70.845972,0.355094,83.316481,0.050556,98.527262,0.30229,99.263631,0.151145,true,,
mvp__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_40,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,40,40,3,"42,101,102",65.891473,1.662469,80.451634,0.967636,68.722615,0.906258,82.339063,0.254461,97.27937,0.108416,98.639685,0.054208,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__linear__layer_12,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,linear,12,12,3,"42,101,102",35.928547,0.355094,63.6333,0.259434,40.074149,0.058377,65.840917,0.029189,45.958404,1.959738,69.623384,1.046664,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__linear__layer_3,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,linear,3,3,3,"42,101,102",32.827772,0.25446,60.886417,0.325031,33.80519,0.25446,62.773846,0.077226,36.82968,0.121604,64.564362,0.23265,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__linear__layer_6,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,linear,6,6,3,"42,101,102",35.355578,0.518867,63.026626,0.25446,36.568925,0.420964,63.515336,0.145943,42.810568,0.320553,68.161889,0.27863,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__linear__layer_9,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,linear,9,9,3,"42,101,102",39.096731,1.090576,65.116279,0.583041,39.063027,0.710189,65.099427,0.154451,44.384486,1.969196,69.111861,1.101341,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_12,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,12,12,3,"42,101,102",69.228176,1.280312,83.434446,0.640156,75.901584,0.308903,86.905965,0.315723,99.932546,0,99.966273,0,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_3,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,3,3,3,"42,101,102",49.443883,2.407661,71.520054,1.003935,51.668352,0.802553,73.22211,0.411756,78.156268,3.939017,88.870152,1.953755,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_6,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,6,6,3,"42,101,102",56.656555,1.580502,75.311763,0.910478,58.611392,0.758904,77.131783,0.405501,85.092749,2.000145,92.462058,0.998223,true,,
mvp__backbone_sweep__videomae_v2__vit_base_16_224__mlp__layer_9,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,mlp,9,9,3,"42,101,102",66.026289,0.267518,80.738119,0.231677,69.295585,0.45594,82.878328,0.162515,99.280494,0.638438,99.640248,0.319219,true,,
