cid,dataset,experiment,model,backbone,layer,seed42,old101,old102,new101,new102,old_std,new_std,delta_std,old_diff_from42,new_diff_from42,new101_nan,new102_nan,new101_best,new102_best,new101_first_nan,new102_first_nan,new101_best_before_nan,new102_best_before_nan,lr101,lr102
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_18,MVP,same_L,V-JEPA,ViT-L/16,18,93.83215369059657,93.52881698685542,94.13549039433772,93.52881698685542,93.02325581395348,0.3033367037411523,0.40864023097345303,0.10530352723230074,0.0,-0.5561172901921196,0,0,29.0,1.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_24,MVP,same_L,V-JEPA,ViT-L/16,24,93.42770475227502,91.30434782608695,87.25985844287159,91.30434782608695,87.25985844287159,3.1333918550391506,3.1333918550391506,0.0,-4.145601617795748,-4.145601617795748,0,0,29.0,30.0,,,,,0.0001,0.0001
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_6,MVP,same_L,V-JEPA 2,ViT-L/16,6,52.78058645096056,43.882709807886755,52.27502527805864,50.55611729019211,55.71284125379171,4.9976454423690155,2.5864448996224705,-2.411200542746545,-4.7017189079878605,0.35389282103134434,0,0,2.0,2.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_12,MVP,same_L,V-JEPA 2,ViT-L/16,12,86.85540950455005,84.12537917087968,75.83417593528817,87.36097067745197,78.26086956521739,5.739696654366391,5.114253759856259,-0.6254428945101314,-6.875631951466133,-4.044489383215378,0,0,5.0,3.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_18,MVP,same_L,V-JEPA 2,ViT-L/16,18,93.32659251769464,92.61880687563195,94.13549039433772,92.61880687563195,94.13549039433772,0.7589032860935487,0.7589032860935487,0.0,0.050556117290199154,0.050556117290199154,0,0,27.0,27.0,,,,,0.0001,0.0001
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_24,MVP,same_L,V-JEPA 2,ViT-L/16,24,92.82103134479271,93.62992922143579,93.93326592517694,93.62992922143579,92.61880687563195,0.5749485038500829,0.5350356544114433,-0.0399128494386396,0.9605662285136418,0.3033367037411523,0,0,28.0,3.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_6,MVP,same_L,V-JEPA 2.1,ViT-L/16,6,57.63397371081901,12.841253791708795,0.10111223458038424,59.75733063700708,53.69059656218403,30.217900639332935,3.078531313981462,-27.139369325351474,-51.162790697674424,-0.910010111223464,0,0,21.0,17.0,,,,,0.0001,0.0001
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_12,MVP,same_L,V-JEPA 2.1,ViT-L/16,12,87.1587462082912,78.36198179979777,78.76643073811931,78.26086956521739,78.76643073811931,4.9661789797444325,4.997645442369019,0.03146646262458663,-8.594539939332662,-8.645096056622862,0,0,5.0,27.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_18,MVP,same_L,V-JEPA 2.1,ViT-L/16,18,89.38321536905966,52.88169868554095,79.97977755308392,60.97067745197169,84.22649140546005,18.952094173062143,15.136583694072604,-3.8155104789895393,-22.95247724974722,-16.78463094034379,0,0,7.0,4.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_24,MVP,same_L,V-JEPA 2.1,ViT-L/16,24,93.62992922143579,84.42871587462083,91.70879676440849,84.42871587462083,92.11324570273003,4.853738331308848,4.933130423112339,0.07939209180349138,-5.561172901921125,-5.358948432760357,0,0,30.0,1.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_6,MVP,same_L,VideoMAE,ViT-L/16,6,69.05965621840244,65.31850353892821,67.03741152679474,65.31850353892821,67.03741152679474,1.8726247904400588,1.8726247904400588,0.0,-2.881698685540954,-2.881698685540954,0,0,30.0,25.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_12,MVP,same_L,VideoMAE,ViT-L/16,12,76.23862487360971,76.84529828109201,71.48634984833164,78.36198179979777,73.40748230535895,2.934578301454705,2.4856614853376837,-0.44891681611702117,-2.072800808897881,-0.35389282103135145,0,0,1.0,1.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_18,MVP,same_L,VideoMAE,ViT-L/16,18,85.13650151668351,84.73205257836199,87.36097067745197,84.73205257836199,87.8665318503539,1.4155712841253805,1.704973356244253,0.2894020721188726,0.9100101112234711,1.1627906976744242,0,0,30.0,2.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_24,MVP,same_L,VideoMAE,ViT-L/16,24,89.88877654196158,90.19211324570273,89.28210313447927,90.19211324570273,89.28210313447927,0.4633544686507416,0.4633544686507416,0.0,-0.15166835187058325,-0.15166835187058325,0,0,29.0,29.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_6,MVP,same_L,VideoMAE-v2,ViT-L/16,6,60.76845298281091,61.57735085945399,55.61172901921132,61.57735085945399,55.61172901921132,3.236118089944093,3.236118089944093,0.0,-2.173913043478258,-2.173913043478258,0,0,26.0,29.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_12,MVP,same_L,VideoMAE-v2,ViT-L/16,12,75.93528816986856,61.27401415571284,54.095045500505556,63.80182002022244,60.06066734074823,11.131687102795564,8.298803720797702,-2.8328833819978616,-18.250758341759358,-14.004044489383219,0,0,8.0,14.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_18,MVP,same_L,VideoMAE-v2,ViT-L/16,18,87.36097067745197,87.36097067745197,86.65318503538928,89.58543983822042,86.65318503538928,0.40864023097344543,1.5301057583843818,1.1214655274109364,-0.35389282103133723,0.7583417593528736,0,0,2.0,26.0,,,,,1.0000000000000001e-05,1.0000000000000001e-05
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_24,MVP,same_L,VideoMAE-v2,ViT-L/16,24,83.72093023255815,77.85642062689585,77.24974721941355,77.85642062689585,77.24974721941355,3.57390391420602,3.57390391420602,0.0,-6.167846309403444,-6.167846309403444,0,0,25.0,29.0,,,,,5.0000000000000002e-05,5.0000000000000002e-05
