config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,100,97.019868,43.137255,65.196078,43.137255,62.745098,,90,,true,,,results/verified_layerwise_probe_configs.csv,133,intphys_primary_db.xlsx,VideoMAE-v2,A14:K14,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,3,3,42,source_csv,complete,pair_consistency,pair_consistency,83.844857,91.703204,55.106168,72.497472,52.376138,70.778564,,30,,true,,,results/verified_layerwise_probe_configs.csv,382,mvp_primary_db.xlsx,V-JEPA 2.1,A11:K11,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,6,6,42,source_csv,complete,pair_consistency,pair_consistency,94.839798,97.419899,87.158746,93.023256,87.360971,93.326593,,30,,true,,,results/verified_layerwise_probe_configs.csv,383,mvp_primary_db.xlsx,V-JEPA 2.1,A12:K12,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,9,9,42,source_csv,complete,pair_consistency,pair_consistency,96.222597,98.111298,89.383215,94.287159,88.776542,93.933266,,30,,true,,,results/verified_layerwise_probe_configs.csv,384,mvp_primary_db.xlsx,V-JEPA 2.1,A13:K13,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,12,12,42,source_csv,complete,pair_consistency,pair_consistency,97.942664,98.971332,92.113246,95.70273,91.40546,95.348837,,30,,true,,,results/verified_layerwise_probe_configs.csv,385,mvp_primary_db.xlsx,V-JEPA 2.1,A14:K14,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,10,10,42,source_csv,complete,pair_consistency,pair_consistency,76.222597,86.863406,53.488372,72.497472,53.993933,72.446916,,30,,true,,,results/verified_layerwise_probe_configs.csv,406,mvp_primary_db.xlsx,V-JEPA 2.1,AA11:AK11,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,20,20,42,source_csv,complete,pair_consistency,pair_consistency,82.293423,90.505902,74.620829,85.995956,74.115268,85.743175,,30,,true,,,results/verified_layerwise_probe_configs.csv,407,mvp_primary_db.xlsx,V-JEPA 2.1,AA12:AK12,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,30,30,42,source_csv,complete,pair_consistency,pair_consistency,98.853288,99.392917,92.517695,95.803842,93.124368,96.157735,,30,,true,,,results/verified_layerwise_probe_configs.csv,408,mvp_primary_db.xlsx,V-JEPA 2.1,AA13:AK13,seed 42 read from source CSV metrics
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40__seed_42,MVP,mvp,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,40,40,42,source_csv,complete,pair_consistency,pair_consistency,98.043845,99.021922,93.326593,96.107179,92.113246,95.70273,,30,,true,,,results/verified_layerwise_probe_configs.csv,409,mvp_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,seed 42 read from source CSV metrics
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3__seed_42,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,3,3,42,source_csv,complete,pair_consistency,pair_consistency,87.655987,93.524452,69.261881,82.254803,68.250758,81.395349,,30,,true,,,results/verified_layerwise_probe_configs.csv,454,mvp_primary_db.xlsx,VideoMAE-v2,A11:K11,seed 42 read from source CSV metrics
