dataset,probe,model,best_layer,main_metric,main_test_performance,frame_shuffle_performance_same_layer,frame_shuffle_delta_pct,single_frame_performance_same_layer,single_frame_delta_pct,main_source_path,frame_shuffle_source_path,single_frame_source_path
mvp,linear,VideoMAE,24,pair_consistency,37.512639,29.423660,21.563343,4.954499,86.792454,artifacts/probes/mvp/old_old_linear_mvp/mvp_probe_linear_videomae_vit_huge_16_224_20260501T080356Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_vit_huge_16_224_linear_22786462/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_vit_huge_16_224_linear_22753613/baseline_label_metrics.csv
mvp,linear,VideoMAE-v2,20,pair_consistency,38.624874,28.109201,27.225132,2.831143,92.670156,artifacts/probes/mvp/old_linear_mvp/mvp_probe_linear_videomae_v2_vit_giant_16_224_20260505T132820Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_v2_vit_giant_16_224_linear_22786467/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_v2_vit_giant_16_224_linear_22754695/baseline_label_metrics.csv
mvp,linear,LTX-Video,noise_0.6_block_24,pair_consistency,49.949444,28.210313,43.522268,13.346815,73.279352,artifacts/derived_probe_roots/mvp_probe_linear_ltx_video_complete_40_20260516/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_ltx_video_ltxv_13b_0_9_8_distilled_linear_22795328/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_ltx_video_ltxv_13b_0_9_8_distilled_linear_22764150/baseline_label_metrics.csv
mvp,MLP,V-JEPA,32,pair_consistency,87.259858,38.928210,55.388181,0.000000,100.000000,artifacts/probes/mvp/mvp_probe_mlp_jepa_v1_vith16_384_20260508T164911Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v1_vith16_384_mlp_22789565/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v1_vith16_384_mlp_22753614/baseline_label_metrics.csv
mvp,MLP,V-JEPA 2,40,pair_consistency,86.754297,40.444894,53.379953,5.763397,93.356644,artifacts/probes/mvp/mvp_probe_mlp_jepa_v2_vitg_384_20260508T164922Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v2_vitg_384_mlp_22789566/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v2_vitg_384_mlp_22754698/baseline_label_metrics.csv
mvp,MLP,V-JEPA 2.1,38,pair_consistency,70.778564,35.995956,49.142856,4.954499,93.000001,artifacts/probes/mvp/mvp_probe_mlp_jepa_v2_1_vitG_384_20260508T164911Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v2_1_vitG_384_mlp_22789567/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v2_1_vitG_384_mlp_22754701/baseline_label_metrics.csv
mvp,MLP,VideoMAE,24,pair_consistency,64.408493,39.130435,39.246467,4.448938,93.092622,artifacts/probes/mvp/mvp_probe_mlp_videomae_vit_huge_16_224_20260508T164922Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_vit_huge_16_224_mlp_22789568/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_vit_huge_16_224_mlp_22753612/baseline_label_metrics.csv
mvp,MLP,VideoMAE-v2,20,pair_consistency,66.127401,36.905966,44.189602,2.224469,96.636086,artifacts/probes/mvp/mvp_probe_mlp_videomae_v2_vit_giant_16_224_20260508T164942Z/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_v2_vit_giant_16_224_mlp_22789569/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_v2_vit_giant_16_224_mlp_22754699/baseline_label_metrics.csv
mvp,MLP,LTX-Video,noise_0.7_block_24,pair_consistency,69.160768,26.895854,61.111111,9.504550,86.257310,artifacts/probes/mvp/mvp_probe_mlp_ltx_video_complete_40_20260514/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_ltx_video_ltxv_13b_0_9_8_distilled_mlp_22795329/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_ltx_video_ltxv_13b_0_9_8_distilled_mlp_22786598/baseline_label_metrics.csv
mvp,attentive,V-JEPA,24,pair_consistency,94.034378,72.093023,23.333333,10.616785,88.709677,artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v1_vith16_384_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v1_vith16_384_temporal_attn_22993031/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v1_vith16_384_temporal_attn_22993027/baseline_label_metrics.csv
mvp,attentive,V-JEPA 2,40,pair_consistency,93.326593,64.408493,30.985916,21.536906,76.923077,artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v2_vitg_384_temporal_attn_22993032/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v2_vitg_384_temporal_attn_22993028/baseline_label_metrics.csv
mvp,attentive,V-JEPA 2.1,48,pair_consistency,93.731041,78.564206,16.181230,27.401416,70.765911,artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_1_vitG_384_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_jepa_v2_1_vitG_384_temporal_attn_22993033/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_jepa_v2_1_vitG_384_temporal_attn_22993029/baseline_label_metrics.csv
mvp,attentive,VideoMAE,24,pair_consistency,92.012133,69.767442,24.175824,16.481294,82.087912,artifacts/probes/mvp/mvp_probe_temporal_attn_videomae_vit_huge_16_224_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_vit_huge_16_224_temporal_attn_22992968/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_vit_huge_16_224_temporal_attn_22992961/baseline_label_metrics.csv
mvp,attentive,VideoMAE-v2,30,pair_consistency,91.102123,56.723964,37.735848,14.661274,83.906770,artifacts/probes/mvp/mvp_probe_temporal_attn_videomae_v2_vit_giant_16_224_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_videomae_v2_vit_giant_16_224_temporal_attn_22993034/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_videomae_v2_vit_giant_16_224_temporal_attn_22993030/baseline_label_metrics.csv
mvp,attentive,LTX-Video,22,pair_consistency,84.327604,3.437816,95.923261,2.932255,96.522782,artifacts/probes/mvp/mvp_probe_temporal_attn_ltx_video_ltxv_13b_0_9_8_distilled_lr_matrix/train_eval_summary.csv,artifacts/results/mvp_frame_shuffling/mvp_frame_shuffling_ltx_video_ltxv_13b_0_9_8_distilled_temporal_attn_22992971/baseline_label_metrics.csv,artifacts/results/mvp_single_frame/mvp_single_frame_ltx_video_ltxv_13b_0_9_8_distilled_temporal_attn_22992967/baseline_label_metrics.csv
