model,best_layer,accuracy,voe_accuracy
V-JEPA,24,74.02,56.86
V-JEPA 2,40,77.45,58.82
V-JEPA 2.1,48,76.47,66.67
VideoMAE,24,74.51,58.82
VideoMAE-v2,30,51.96,31.37
LTX-Video,38,61.76,43.14
